product_id,smape_baseline_dow,smape_catboost,smape_lightgbm_q50,chosen_forecaster,objective,chosen_model
42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c,0.6150644548523398,0.34623270049870414,0.38108359193307995,catboost,obj2_forecasting,
56154e85b0dacaa9d34e280f4470e0dd2db370c22d98ec775c7d2fd6827eba5c,0.5212447120538815,0.21290094944030696,0.1944646003003892,lightgbm_q50,obj2_forecasting,
58fba35ac3591d27507b733ea4a6dc1c8b1c2cf04ddbbd6b3d4a4da3a3c8fd3c,0.7893595495969126,0.1553089006150479,0.06882382145646604,lightgbm_q50,obj2_forecasting,
82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314,0.1741781652261477,0.1347574342906137,0.043566566017448426,lightgbm_q50,obj2_forecasting,
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,0.3197665656035724,0.17113258587957242,0.05770441236070459,lightgbm_q50,obj2_forecasting,
42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c,,,,,obj1_demand_model,ridge_loglog
56154e85b0dacaa9d34e280f4470e0dd2db370c22d98ec775c7d2fd6827eba5c,,,,,obj1_demand_model,ridge_loglog
58fba35ac3591d27507b733ea4a6dc1c8b1c2cf04ddbbd6b3d4a4da3a3c8fd3c,,,,,obj1_demand_model,lightgbm_mono
82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314,,,,,obj1_demand_model,lightgbm_mono
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,,,,,obj1_demand_model,ridge_loglog
